3:[-2.172409180012557, -2.6688906901199907]
0:[0.7953133862387013, 0.8700066003921778]
2:[-0.646238326270147, 3.279878464143365]
0:[0.8051338567122416, 0.9006677913170941]
1:[0.9192624121839768, 5.276234348719721]
2:[-1.5236028697557173, 3.523541960669672]
0:[0.8158545347142973, 0.8812344252676659]
1:[1.2919204507592323, 4.990481950773441]
3:[-2.1097456862998247, -2.5532272201741164]
0:[0.7540369872744652, 0.8648074777097673]
1:[1.1015222806725284, 5.186869483049148]
2:[-0.9718457262036202, 3.4099593571990403]
3:[-2.161143217496943, -2.741466666096039]
1:[1.2832466104902818, 4.97977090393981]
3:[-2.0579912600456036, -2.7774376324764987]
0:[0.8372163245870453, 0.8565228682703062]
2:[-0.6399347503214404, 3.144289043710878]
3:[-2.145654491419474, -2.4985009060725716]
0:[0.7692382795382676, 0.8771144130093748]
2:[-1.1724954924161426, 3.2655510558210183]
3:[-2.1195799470177388, -2.6736178816994465]
2:[-0.4647210232961726, 3.267015412034984]
3:[-2.0704868332345154, -2.81543180485149]
0:[0.7980931264258664, 0.8781474332998912]
0:[0.8324328503832562, 0.8561630171627906]
2:[-1.3734061871896224, 3.180195750233723]
3:[-2.0846505379396145, -2.5357416162370177]
1:[1.3364246559614241, 5.322213545073138]
2:[-0.6685477120394581, 3.231649411097202]
3:[-2.1942184674067646, -2.7448140139405512]
0:[0.7888431046175207, 0.8579641003025862]
2:[-1.4618894206682285, 3.2082414754060693]
3:[-2.1754914489323633, -2.516784176341077]
0:[0.7910749774154656, 0.8984715041208291]
3:[-2.297457677507208, -2.712058354600838]
1:[1.5890681525236556, 5.177683262806753]
3:[-2.136198088758196, -2.541641115214984]
1:[1.4532983670693844, 5.1698861035994295]
2:[-1.925085983650217, 3.2214674341632614]
3:[-2.1303326901976547, -2.5549358029519302]
1:[1.2856516956007935, 5.046536033703355]
2:[-0.9208206711710698, 3.263989241156118]
3:[-2.195119962870484, -2.6328819668477523]
0:[0.8222558231249291, 0.8897626999906685]
1:[1.1071606264969458, 5.099978172591815]
2:[-1.237992385801675, 3.2569265595805694]
0:[0.772408495005988, 0.848636194748575]
2:[-1.4202159475893181, 3.3762170114170753]
3:[-2.2485874450668537, -2.7270685918866597]
0:[0.8068364127339964, 0.8737088165840534]
2:[-1.9471250765161254, 3.321993721091695]
3:[-2.2182666470764416, -2.445039963585744]
3:[-2.116797199719448, -2.485356145502898]
0:[0.7849290206485112, 0.8522641129706128]
2:[-1.1898769227018577, 3.1817137223516205]
0:[0.7671215226795002, 0.8753890454499599]
1:[1.3059336060260902, 5.248125655782957]
2:[-1.3970956699845891, 3.274454542617947]
3:[-1.948689034201665, -2.5956881710713566]
0:[0.7997813353399966, 0.8442304874060573]
1:[1.1840396814936451, 5.269450761073912]
1:[1.355621747558107, 5.6861706752691275]
2:[-0.8283224221116675, 3.4754531717949275]
0:[0.7892194590918066, 0.8611415344743567]
1:[1.337879621339575, 5.012437566102615]
2:[-1.9431832906915796, 3.1529255599595363]
0:[0.7974382449727476, 0.889320799605816]
1:[1.4211793119404494, 5.212080074500341]
2:[-1.599630675357366, 3.205582047125359]
3:[-2.1404642447900315, -2.5966586035745784]
0:[0.7899713529461457, 0.908084280637444]
1:[1.3305115501045237, 5.2481701966060745]
2:[-1.6444565207896211, 3.1148527936109063]
3:[-1.9518213247303335, -2.5955413568940817]
0:[0.7815124625980554, 0.8534752648675942]
1:[1.2670774728017067, 5.269544217531972]
3:[-2.3987293551279802, -2.7005710260482823]
1:[1.3019746960799192, 5.112609492717558]
3:[-2.0632226605481856, -2.61040169790642]
0:[0.7852458817084992, 0.870204828684386]
2:[-1.3461247897183686, 3.334160309552463]
1:[0.8801022541442102, 5.151324590926045]
2:[-0.9068337626580658, 3.3463746591648]
3:[-2.0865614641145904, -2.881006306302927]
0:[0.8147343938022118, 0.8901259763448776]
